student_id,academic_year,subject_code,attendance_percentage,participation_score
S250-25,2024-2025,SUB01,40,7
S253-24,2023-2024,SUB01,84,7
S255-25,2024-2025,SUB05,63,7
S224-24,2023-2024,SUB02,80,6
S256-25,2024-2025,SUB04,79,7
S257-24,2023-2024,SUB01,73,7
S498-25,2024-2025,SUB02,80,6
S259-25,2024-2025,SUB04,,7
S264-24,2023-2024,SUB01,88,7
S266-25,2024-2025,SUB05,81,7
S613-25,2024-2025,SUB03,80,7
S267-24,2023-2024,SUB04,84,7
S271-25,2024-2025,SUB01,47,7
S182-24,2023-2024,SUB03,80,7
S271-25,2024-2025,SUB04,64,7
S272-24,2023-2024,SUB04,85,7
S272-24,2023-2024,SUB05,81,7
S274-25,2024-2025,SUB04,62,7
S275-25,2024-2025,SUB01,51,7
S284-24,2023-2024,SUB02,80,5
S452-24,2023-2024,SUB03,80,7
S277-24,2023-2024,SUB04,60,7
S375-24,2023-2024,SUB02,80,5
S679-25,2024-2025,SUB03,80,7
S285-25,2024-2025,SUB05,57,7
S287-24,2023-2024,SUB05,85,7
S752-25,2024-2025,SUB03,80,7
S983-25,2024-2025,SUB02,80,4
S293-24,2023-2024,SUB04,91,7
S295-25,2024-2025,SUB04,95,7
S297-24,2023-2024,SUB05,83,7
S298-24,2023-2024,SUB01,76,7
S298-24,2023-2024,SUB05,76,7
S300-25,2024-2025,SUB01,77,7
S302-24,2023-2024,SUB05,81,7
S303-25,2024-2025,SUB05,86,7
S293-24,2023-2024,SUB02,80,3
S908-25,2024-2025,SUB03,80,7
S305-25,2024-2025,SUB04,43,7
S306-24,2023-2024,SUB01,95,7
S372-25,2024-2025,SUB02,80,3
S306-24,2023-2024,SUB05,93,7
S313-24,2023-2024,SUB01,55,7
S614-24,2023-2024,SUB02,80,3
S315-24,2023-2024,SUB05,63,7
S780-24,2023-2024,SUB02,80,3
S317-24,2023-2024,SUB05,85,7
S318-25,2024-2025,SUB01,93,7
S322-24,2023-2024,SUB04,88,7
S064-25,2024-2025,SUB02,80,7
S325-24,2023-2024,SUB04,,7
S114-24,2023-2024,SUB02,80,7
S326-25,2024-2025,SUB05,63,7
S327-24,2023-2024,SUB01,78,7
S327-24,2023-2024,SUB05,95,7
S986-25,2024-2025,SUB03,80,7
S334-24,2023-2024,SUB04,81,7
S589-25,2024-2025,SUB02,80,7
S338-24,2023-2024,SUB01,60,7
S339-24,2023-2024,SUB04,91,7
S314-24,2023-2024,SUB03,80,7
S491-25,2024-2025,SUB02,80,7
S346-25,2024-2025,SUB01,42,7
S080-25,2024-2025,SUB02,80,6
S347-24,2023-2024,SUB04,80,7
S349-25,2024-2025,SUB05,,7
S603-25,2024-2025,SUB03,80,7
S352-25,2024-2025,SUB01,78,7
S353-24,2023-2024,SUB01,,7
S353-24,2023-2024,SUB05,47,7
S876-24,2023-2024,SUB03,80,7
S568-25,2024-2025,SUB02,80,6
S361-24,2023-2024,SUB05,61,7
S362-24,2023-2024,SUB01,43,7
S362-24,2023-2024,SUB04,87,7
S363-24,2023-2024,SUB01,47,7
S365-24,2023-2024,SUB01,75,7
S581-24,2023-2024,SUB02,80,6
S362-24,2023-2024,SUB03,80,7
S718-24,2023-2024,SUB02,80,6
S367-24,2023-2024,SUB04,70,7
S369-25,2024-2025,SUB04,78,7
S372-25,2024-2025,SUB01,87,7
S374-25,2024-2025,SUB05,71,7
S376-25,2024-2025,SUB04,94,7
S377-25,2024-2025,SUB01,81,7
S715-24,2023-2024,SUB03,80,7
S114-24,2023-2024,SUB03,80,7
S387-25,2024-2025,SUB01,94,7
S388-25,2024-2025,SUB04,67,7
S389-24,2023-2024,SUB01,76,7
S738-25,2024-2025,SUB03,80,7
S397-24,2023-2024,SUB04,56,7
S067-25,2024-2025,SUB02,80,5
S708-25,2024-2025,SUB02,80,5
S132-24,2023-2024,SUB02,80,4
S118-24,2023-2024,SUB03,80,7
S227-24,2023-2024,SUB03,80,7
S435-24,2023-2024,SUB03,80,7
S413-25,2024-2025,SUB04,53,7
S414-25,2024-2025,SUB01,85,7
S415-24,2023-2024,SUB01,70,7
S415-24,2023-2024,SUB04,87,7
S417-25,2024-2025,SUB04,95,7
S136-25,2024-2025,SUB02,80,4
S419-25,2024-2025,SUB05,69,7
S425-24,2023-2024,SUB05,42,7
S427-25,2024-2025,SUB01,87,7
S427-25,2024-2025,SUB05,58,7
S979-25,2024-2025,SUB02,80,4
S437-24,2023-2024,SUB01,80,7
S437-24,2023-2024,SUB04,,7
S439-24,2023-2024,SUB01,60,7
S440-25,2024-2025,SUB05,49,7
S024-25,2024-2025,SUB02,80,3
S229-25,2024-2025,SUB03,80,7
S443-25,2024-2025,SUB05,59,7
S552-25,2024-2025,SUB03,80,7
S448-24,2023-2024,SUB04,50,7
S449-25,2024-2025,SUB05,86,7
S100-25,2024-2025,SUB03,80,7
S127-25,2024-2025,SUB03,80,7
S457-25,2024-2025,SUB05,64,7
S606-24,2023-2024,SUB03,70,7
S460-24,2023-2024,SUB01,40,7
S873-25,2024-2025,SUB03,70,7
S312-24,2023-2024,SUB02,80,3
S463-24,2023-2024,SUB05,61,7
S465-24,2023-2024,SUB04,59,7
S466-24,2023-2024,SUB01,55,7
S065-25,2024-2025,SUB03,70,7
S469-25,2024-2025,SUB01,53,7
S471-25,2024-2025,SUB01,89,7
S471-25,2024-2025,SUB05,56,7
S472-24,2023-2024,SUB04,50,7
S312-24,2023-2024,SUB03,70,7
S474-25,2024-2025,SUB01,40,7
S474-25,2024-2025,SUB04,93,7
S475-24,2023-2024,SUB01,70,7
S476-25,2024-2025,SUB04,76,7
S480-24,2023-2024,SUB03,70,7
S095-24,2023-2024,SUB03,70,7
S481-24,2023-2024,SUB04,44,7
S483-24,2023-2024,SUB03,70,7
S933-25,2024-2025,SUB02,80,3
S487-25,2024-2025,SUB04,43,7
S950-24,2023-2024,SUB03,70,7
S489-25,2024-2025,SUB01,59,7
S101-25,2024-2025,SUB02,80,2
S239-24,2023-2024,SUB02,80,2
S263-24,2023-2024,SUB03,70,7
S498-25,2024-2025,SUB04,67,7
S499-25,2024-2025,SUB05,57,7
S500-24,2023-2024,SUB05,57,7
S502-24,2023-2024,SUB04,89,7
S506-25,2024-2025,SUB01,46,7
S033-25,2024-2025,SUB03,70,7
S507-25,2024-2025,SUB05,64,7
S509-24,2023-2024,SUB01,83,7
S590-24,2023-2024,SUB03,70,7
S509-24,2023-2024,SUB04,59,7
S953-25,2024-2025,SUB02,80,2
S259-25,2024-2025,SUB02,80,
S513-25,2024-2025,SUB04,,7
S696-25,2024-2025,SUB03,70,7
S515-24,2023-2024,SUB01,93,7
S756-24,2023-2024,SUB03,70,7
S517-25,2024-2025,SUB01,91,7
S517-25,2024-2025,SUB05,42,7
S928-24,2023-2024,SUB02,80,
S525-24,2023-2024,SUB05,,7
S526-25,2024-2025,SUB01,48,7
S527-25,2024-2025,SUB01,80,7
S291-24,2023-2024,SUB02,80,7
S530-24,2023-2024,SUB05,41,7
S403-25,2024-2025,SUB02,80,7
S681-25,2024-2025,SUB02,80,7
S540-25,2024-2025,SUB04,69,7
S541-25,2024-2025,SUB01,84,7
S541-25,2024-2025,SUB05,57,7
S542-25,2024-2025,SUB04,70,7
S731-24,2023-2024,SUB02,80,6
S543-25,2024-2025,SUB05,60,7
S743-24,2023-2024,SUB02,80,6
S760-24,2023-2024,SUB02,80,6
S832-24,2023-2024,SUB03,70,7
S549-24,2023-2024,SUB01,46,7
S197-25,2024-2025,SUB03,70,7
S418-24,2023-2024,SUB03,70,7
S683-24,2023-2024,SUB03,70,7
S554-25,2024-2025,SUB01,65,7
S254-25,2024-2025,SUB02,80,5
S557-25,2024-2025,SUB04,43,7
S558-24,2023-2024,SUB05,88,7
S749-24,2023-2024,SUB03,70,7
S560-25,2024-2025,SUB04,76,7
S754-24,2023-2024,SUB03,70,7
S003-24,2023-2024,SUB03,70,7
S571-25,2024-2025,SUB01,68,7
S282-24,2023-2024,SUB03,70,7
S573-24,2023-2024,SUB01,43,7
S575-25,2024-2025,SUB04,69,7
S577-24,2023-2024,SUB01,56,7
S577-24,2023-2024,SUB04,40,7
S581-24,2023-2024,SUB05,,7
S582-25,2024-2025,SUB04,62,7
S368-24,2023-2024,SUB02,80,5
S570-24,2023-2024,SUB03,70,7
S118-24,2023-2024,SUB02,80,4
S384-25,2024-2025,SUB03,70,7
S925-25,2024-2025,SUB02,80,4
S443-25,2024-2025,SUB03,70,7
S185-25,2024-2025,SUB03,70,7
S595-25,2024-2025,SUB01,75,7
S596-25,2024-2025,SUB01,54,7
S592-24,2023-2024,SUB03,70,7
S596-25,2024-2025,SUB05,81,7
S600-25,2024-2025,SUB05,85,7
S603-25,2024-2025,SUB04,65,7
S996-24,2023-2024,SUB02,80,4
S606-24,2023-2024,SUB05,91,7
S609-25,2024-2025,SUB04,56,7
S315-24,2023-2024,SUB02,80,3
S613-25,2024-2025,SUB05,55,7
S960-25,2024-2025,SUB03,70,7
S616-25,2024-2025,SUB05,89,7
S619-24,2023-2024,SUB04,65,7
S620-25,2024-2025,SUB01,62,7
S440-25,2024-2025,SUB02,80,3
S622-24,2023-2024,SUB05,57,7
S625-25,2024-2025,SUB05,62,7
S630-24,2023-2024,SUB01,,7
S630-24,2023-2024,SUB05,88,7
S634-25,2024-2025,SUB01,43,7
S636-25,2024-2025,SUB04,49,7
S640-24,2023-2024,SUB04,72,7
S035-25,2024-2025,SUB02,80,2
S702-24,2023-2024,SUB02,80,2
S645-24,2023-2024,SUB01,76,7
S784-24,2023-2024,SUB02,80,7
S264-24,2023-2024,SUB03,70,6
S646-25,2024-2025,SUB01,64,7
S803-25,2024-2025,SUB02,80,7
S648-25,2024-2025,SUB04,,7
S826-25,2024-2025,SUB02,80,7
S652-25,2024-2025,SUB05,71,7
S653-24,2023-2024,SUB01,68,7
S246-25,2024-2025,SUB02,80,8
S255-25,2024-2025,SUB02,80,8
S665-24,2023-2024,SUB05,71,7
S668-25,2024-2025,SUB01,50,7
S668-25,2024-2025,SUB05,75,7
S670-25,2024-2025,SUB04,41,7
S672-24,2023-2024,SUB04,50,7
S767-25,2024-2025,SUB02,80,8
S937-24,2023-2024,SUB03,70,6
S675-24,2023-2024,SUB01,85,7
S677-25,2024-2025,SUB01,92,7
S677-25,2024-2025,SUB05,40,7
S678-25,2024-2025,SUB05,64,7
S296-25,2024-2025,SUB03,70,6
S680-24,2023-2024,SUB01,55,7
S680-24,2023-2024,SUB04,71,7
S802-25,2024-2025,SUB02,80,8
S342-24,2023-2024,SUB03,70,6
S685-24,2023-2024,SUB01,62,7
S417-25,2024-2025,SUB03,70,6
S687-24,2023-2024,SUB05,64,7
S020-24,2023-2024,SUB03,70,6
S688-25,2024-2025,SUB04,75,7
S139-24,2023-2024,SUB03,70,6
S897-25,2024-2025,SUB03,70,6
S819-24,2023-2024,SUB03,70,6
S869-24,2023-2024,SUB02,80,7
S696-25,2024-2025,SUB04,71,7
S386-25,2024-2025,SUB02,80,6
S699-25,2024-2025,SUB04,93,7
S700-25,2024-2025,SUB01,55,7
S375-24,2023-2024,SUB03,70,6
S702-24,2023-2024,SUB04,47,7
S212-24,2023-2024,SUB02,80,5
S705-24,2023-2024,SUB01,83,7
S204-24,2023-2024,SUB03,70,6
S708-25,2024-2025,SUB01,51,7
S504-24,2023-2024,SUB03,70,6
S711-25,2024-2025,SUB01,49,7
S280-24,2023-2024,SUB02,80,5
S549-24,2023-2024,SUB03,70,6
S713-25,2024-2025,SUB05,59,7
S716-25,2024-2025,SUB01,,7
S170-24,2023-2024,SUB03,70,6
S305-25,2024-2025,SUB03,70,6
S721-24,2023-2024,SUB05,81,7
S582-25,2024-2025,SUB02,80,5
S724-24,2023-2024,SUB01,40,7
S315-24,2023-2024,SUB03,70,6
S054-24,2023-2024,SUB02,80,4
S728-24,2023-2024,SUB01,86,7
S728-24,2023-2024,SUB04,90,7
S185-25,2024-2025,SUB02,80,4
S731-24,2023-2024,SUB01,62,7
S297-24,2023-2024,SUB02,80,4
S491-25,2024-2025,SUB03,70,6
S738-25,2024-2025,SUB05,45,7
S739-24,2023-2024,SUB04,53,7
S739-24,2023-2024,SUB05,48,7
S740-25,2024-2025,SUB04,58,7
S323-25,2024-2025,SUB02,80,3
S674-25,2024-2025,SUB03,70,6
S741-25,2024-2025,SUB04,78,7
S160-25,2024-2025,SUB02,80,2
S745-25,2024-2025,SUB04,82,7
S745-25,2024-2025,SUB05,56,7
S642-25,2024-2025,SUB02,80,7
S747-25,2024-2025,SUB05,76,7
S748-25,2024-2025,SUB04,49,7
S749-24,2023-2024,SUB04,77,7
S749-24,2023-2024,SUB05,57,7
S232-25,2024-2025,SUB03,70,6
S750-24,2023-2024,SUB05,94,7
S753-25,2024-2025,SUB04,67,7
S755-25,2024-2025,SUB04,58,7
S757-24,2023-2024,SUB05,80,7
S758-24,2023-2024,SUB01,76,7
S758-24,2023-2024,SUB04,91,7
S758-24,2023-2024,SUB05,77,7
S759-24,2023-2024,SUB01,43,7
S727-24,2023-2024,SUB02,80,7
S131-24,2023-2024,SUB02,80,7
S763-25,2024-2025,SUB04,93,7
S764-24,2023-2024,SUB04,65,7
S764-24,2023-2024,SUB05,78,7
S656-25,2024-2025,SUB03,70,6
S771-25,2024-2025,SUB05,90,7
S739-24,2023-2024,SUB02,80,8
S773-24,2023-2024,SUB04,56,7
S833-25,2024-2025,SUB02,80,8
S647-25,2024-2025,SUB03,70,6
S774-25,2024-2025,SUB04,50,7
S993-25,2024-2025,SUB02,80,8
S777-25,2024-2025,SUB05,80,7
S780-24,2023-2024,SUB04,48,7
S781-24,2023-2024,SUB01,49,7
S781-24,2023-2024,SUB04,91,7
S993-25,2024-2025,SUB02,80,8
S267-24,2023-2024,SUB02,80,7
S787-25,2024-2025,SUB05,86,7
S789-25,2024-2025,SUB01,75,7
S791-24,2023-2024,SUB01,85,7
S624-25,2024-2025,SUB02,80,7
S791-24,2023-2024,SUB04,43,7
S795-24,2023-2024,SUB04,68,7
S798-24,2023-2024,SUB04,56,7
S800-25,2024-2025,SUB04,79,7
S801-24,2023-2024,SUB01,44,7
S672-24,2023-2024,SUB03,70,6
S802-25,2024-2025,SUB05,91,7
S562-24,2023-2024,SUB02,80,6
S560-25,2024-2025,SUB02,80,5
S380-25,2024-2025,SUB02,80,4
S806-25,2024-2025,SUB01,94,7
S807-24,2023-2024,SUB05,58,7
S808-25,2024-2025,SUB04,48,7
S809-24,2023-2024,SUB01,66,7
S736-24,2023-2024,SUB03,70,6
S811-25,2024-2025,SUB04,57,7
S811-25,2024-2025,SUB05,85,7
S451-25,2024-2025,SUB02,80,4
S951-24,2023-2024,SUB03,70,6
S816-24,2023-2024,SUB04,88,7
S676-25,2024-2025,SUB02,80,3
S173-24,2023-2024,SUB02,80,
S400-25,2024-2025,SUB02,80,7
S825-24,2023-2024,SUB05,,7
S822-24,2023-2024,SUB02,80,7
S087-24,2023-2024,SUB02,80,7
S828-25,2024-2025,SUB01,81,7
S829-25,2024-2025,SUB04,79,7
S213-25,2024-2025,SUB02,80,7
S082-25,2024-2025,SUB03,70,6
S833-25,2024-2025,SUB01,68,7
S221-24,2023-2024,SUB02,80,7
S188-24,2023-2024,SUB03,70,6
S834-24,2023-2024,SUB05,75,7
S835-24,2023-2024,SUB04,63,7
S837-24,2023-2024,SUB05,88,7
S838-24,2023-2024,SUB01,78,7
S838-24,2023-2024,SUB04,71,7
S839-25,2024-2025,SUB05,66,7
S844-24,2023-2024,SUB04,74,7
S701-24,2023-2024,SUB03,70,6
S687-24,2023-2024,SUB02,80,7
S952-25,2024-2025,SUB02,80,7
S054-24,2023-2024,SUB03,70,5
S866-25,2024-2025,SUB01,48,7
S867-24,2023-2024,SUB05,91,7
S157-24,2023-2024,SUB02,80,6
S873-25,2024-2025,SUB05,89,7
S257-24,2023-2024,SUB03,70,5
S878-25,2024-2025,SUB05,52,7
S190-24,2023-2024,SUB02,80,5
S880-24,2023-2024,SUB05,61,7
S882-24,2023-2024,SUB04,67,7
S329-24,2023-2024,SUB02,80,5
S883-24,2023-2024,SUB05,47,7
S885-24,2023-2024,SUB04,93,7
S555-24,2023-2024,SUB02,80,5
S595-25,2024-2025,SUB03,70,5
S893-24,2023-2024,SUB04,62,7
S650-25,2024-2025,SUB03,70,5
S897-25,2024-2025,SUB04,51,7
S898-24,2023-2024,SUB01,68,7
S903-25,2024-2025,SUB05,50,7
S917-25,2024-2025,SUB03,70,5
S596-25,2024-2025,SUB02,80,5
S907-24,2023-2024,SUB05,64,7
S249-25,2024-2025,SUB03,70,5
S763-25,2024-2025,SUB02,80,5
S252-24,2023-2024,SUB03,70,5
S137-24,2023-2024,SUB02,80,4
S917-25,2024-2025,SUB04,59,7
S267-24,2023-2024,SUB03,70,5
S919-24,2023-2024,SUB05,77,7
S920-25,2024-2025,SUB04,41,7
S920-25,2024-2025,SUB05,,7
S921-25,2024-2025,SUB04,78,7
S922-25,2024-2025,SUB04,71,7
S928-24,2023-2024,SUB01,78,7
S930-25,2024-2025,SUB01,49,7
S536-24,2023-2024,SUB02,80,4
S932-24,2023-2024,SUB01,57,7
S932-24,2023-2024,SUB05,91,7
S714-25,2024-2025,SUB02,80,4
S556-24,2023-2024,SUB02,80,3
S848-24,2023-2024,SUB03,70,5
S617-24,2023-2024,SUB02,80,3
S947-25,2024-2025,SUB01,93,7
S947-25,2024-2025,SUB05,,7
S951-24,2023-2024,SUB05,73,7
S952-25,2024-2025,SUB01,90,7
S953-25,2024-2025,SUB05,61,7
S954-24,2023-2024,SUB04,51,7
S956-25,2024-2025,SUB01,,7
S679-25,2024-2025,SUB02,80,3
S956-25,2024-2025,SUB05,88,7
S960-25,2024-2025,SUB01,43,7
S962-25,2024-2025,SUB04,51,7
S955-25,2024-2025,SUB02,80,3
S146-25,2024-2025,SUB02,80,2
S976-25,2024-2025,SUB01,86,7
S979-25,2024-2025,SUB05,85,7
S066-25,2024-2025,SUB03,70,5
S980-25,2024-2025,SUB05,51,7
S981-24,2023-2024,SUB01,68,7
S203-24,2023-2024,SUB02,80,2
S743-24,2023-2024,SUB03,70,5
S981-24,2023-2024,SUB05,71,7
S299-25,2024-2025,SUB02,80,2
S103-25,2024-2025,SUB02,80,
S987-24,2023-2024,SUB05,63,7
S988-24,2023-2024,SUB01,78,7
S500-24,2023-2024,SUB02,80,
S994-24,2023-2024,SUB01,67,7
S995-25,2024-2025,SUB04,45,7
S489-25,2024-2025,SUB03,70,5
S184-24,2023-2024,SUB02,80,7
S981-24,2023-2024,SUB03,70,5
S002-25,2024-2025,SUB01,81,7
S907-24,2023-2024,SUB03,70,5
S361-24,2023-2024,SUB02,80,7
S944-25,2024-2025,SUB03,70,5
S016-25,2024-2025,SUB01,71,7
S016-25,2024-2025,SUB05,64,7
S020-24,2023-2024,SUB01,85,7
S020-24,2023-2024,SUB04,53,7
S021-25,2024-2025,SUB01,90,7
S023-25,2024-2025,SUB01,58,7
S023-25,2024-2025,SUB05,92,7
S024-25,2024-2025,SUB01,88,7
S025-25,2024-2025,SUB01,71,7
S979-25,2024-2025,SUB03,70,5
S944-25,2024-2025,SUB03,70,5
S027-25,2024-2025,SUB01,71,7
S530-24,2023-2024,SUB02,80,7
S036-24,2023-2024,SUB03,70,5
S014-24,2023-2024,SUB03,70,5
S044-25,2024-2025,SUB04,58,7
S046-25,2024-2025,SUB05,41,7
S605-25,2024-2025,SUB02,80,7
S024-25,2024-2025,SUB03,70,5
S049-25,2024-2025,SUB05,68,7
S053-24,2023-2024,SUB01,55,7
S054-24,2023-2024,SUB01,44,7
S054-24,2023-2024,SUB04,40,7
S054-24,2023-2024,SUB05,46,7
S055-25,2024-2025,SUB04,53,7
S055-25,2024-2025,SUB05,75,7
S320-25,2024-2025,SUB03,70,5
S798-24,2023-2024,SUB03,70,5
S432-25,2024-2025,SUB02,80,8
S061-25,2024-2025,SUB01,40,7
S405-24,2023-2024,SUB03,70,5
S786-25,2024-2025,SUB02,80,8
S064-25,2024-2025,SUB01,69,7
S065-25,2024-2025,SUB01,55,7
S065-25,2024-2025,SUB05,70,7
S068-25,2024-2025,SUB01,79,7
S207-25,2024-2025,SUB02,80,7
S068-25,2024-2025,SUB05,48,7
S071-25,2024-2025,SUB05,88,7
S072-25,2024-2025,SUB01,90,7
S076-25,2024-2025,SUB01,55,7
S077-24,2023-2024,SUB01,71,7
S487-25,2024-2025,SUB03,70,5
S509-24,2023-2024,SUB03,70,5
S357-24,2023-2024,SUB03,70,5
S082-25,2024-2025,SUB04,45,7
S084-25,2024-2025,SUB01,87,7
S241-25,2024-2025,SUB02,80,7
S087-24,2023-2024,SUB04,67,7
S658-24,2023-2024,SUB02,80,7
S089-25,2024-2025,SUB01,47,7
S090-25,2024-2025,SUB01,85,7
S928-24,2023-2024,SUB03,70,5
S090-25,2024-2025,SUB04,76,7
S964-25,2024-2025,SUB03,70,5
S213-25,2024-2025,SUB03,70,4
S099-24,2023-2024,SUB01,84,7
S100-25,2024-2025,SUB05,91,7
S102-25,2024-2025,SUB01,70,7
S664-25,2024-2025,SUB02,80,7
S103-25,2024-2025,SUB04,41,7
S104-25,2024-2025,SUB05,79,7
S107-25,2024-2025,SUB04,72,7
S589-25,2024-2025,SUB03,70,4
S110-24,2023-2024,SUB04,76,7
S112-25,2024-2025,SUB04,68,7
S966-25,2024-2025,SUB03,70,4
S117-25,2024-2025,SUB01,51,7
S122-24,2023-2024,SUB04,82,7
S122-24,2023-2024,SUB05,84,7
S406-24,2023-2024,SUB03,70,4
S124-25,2024-2025,SUB04,40,7
S090-25,2024-2025,SUB02,80,6
S126-25,2024-2025,SUB05,94,7
S129-25,2024-2025,SUB05,64,7
S131-24,2023-2024,SUB01,73,7
S187-24,2023-2024,SUB02,80,6
S718-24,2023-2024,SUB03,70,4
S136-25,2024-2025,SUB01,95,7
S141-24,2023-2024,SUB01,62,7
S346-25,2024-2025,SUB02,80,4
