student_id,academic_year,subject_code,subject_name,internal_marks,external_mark
S206-25,2024-2025,SUB02,Science,35,29
S792-24,2023-2024,SUB01,Mathematics,28,60
S216-24,2023-2024,SUB03,English,35,13
S224-24,2023-2024,SUB02,Science,35,37
S230-24,2023-2024,SUB02,Science,35,43
S231-24,2023-2024,SUB03,English,35,14
S248-25,2024-2025,SUB02,Science,35,19
S767-25,2024-2025,SUB01,Mathematics,26,60
S258-25,2024-2025,SUB03,English,35,16
S278-24,2023-2024,SUB02,Science,35,48
S281-24,2023-2024,SUB02,Science,35,22
S468-25,2024-2025,SUB01,Mathematics,25,60
S359-24,2023-2024,SUB02,Science,35,14
S401-25,2024-2025,SUB03,English,35,19
S721-24,2023-2024,SUB01,Mathematics,25,60
S737-25,2024-2025,SUB01,Mathematics,23,60
S439-24,2023-2024,SUB02,Science,35,
S471-25,2024-2025,SUB03,English,35,48
S491-25,2024-2025,SUB03,English,35,43
S496-24,2023-2024,SUB02,Science,35,23
S496-24,2023-2024,SUB03,English,35,55
S523-25,2024-2025,SUB03,English,35,49
S529-25,2024-2025,SUB03,English,35,35
S551-24,2023-2024,SUB02,Science,35,31
S657-24,2023-2024,SUB01,Mathematics,18,60
S766-25,2024-2025,SUB01,Mathematics,18,60
S572-24,2023-2024,SUB02,Science,35,10
S572-24,2023-2024,SUB03,English,35,31
S802-25,2024-2025,SUB01,Mathematics,18,60
S588-25,2024-2025,SUB02,Science,35,29
S332-25,2024-2025,SUB01,Mathematics,17,60
S029-24,2023-2024,SUB01,Mathematics,16,60
S602-24,2023-2024,SUB03,English,35,13
S612-25,2024-2025,SUB02,Science,35,32
S614-24,2023-2024,SUB03,English,35,26
S620-25,2024-2025,SUB02,Science,35,19
S624-25,2024-2025,SUB02,Science,35,32
S628-24,2023-2024,SUB02,Science,35,51
S650-25,2024-2025,SUB03,English,35,17
S652-25,2024-2025,SUB02,Science,35,55
S665-24,2023-2024,SUB02,Science,35,
S679-25,2024-2025,SUB03,English,35,45
S686-25,2024-2025,SUB02,Science,35,18
S693-25,2024-2025,SUB03,English,35,31
S711-25,2024-2025,SUB03,English,35,13
S720-25,2024-2025,SUB02,Science,35,
S726-25,2024-2025,SUB03,English,35,44
S731-24,2023-2024,SUB03,English,35,27
S723-25,2024-2025,SUB01,Mathematics,15,60
S755-25,2024-2025,SUB02,Science,35,
S778-24,2023-2024,SUB03,English,35,26
S375-24,2023-2024,SUB01,Mathematics,14,60
S796-24,2023-2024,SUB02,Science,35,55
S834-24,2023-2024,SUB02,Science,35,21
S518-25,2024-2025,SUB01,Mathematics,14,60
S739-24,2023-2024,SUB01,Mathematics,14,60
S863-25,2024-2025,SUB02,Science,35,48
S880-24,2023-2024,SUB03,English,35,51
S513-25,2024-2025,SUB01,Mathematics,13,60
S905-24,2023-2024,SUB01,Mathematics,12,60
S910-25,2024-2025,SUB03,English,35,48
S827-24,2023-2024,SUB01,Mathematics,11,60
S914-25,2024-2025,SUB03,English,35,47
S922-25,2024-2025,SUB02,Science,35,30
S923-25,2024-2025,SUB03,English,35,31
S951-24,2023-2024,SUB03,English,35,32
S960-25,2024-2025,SUB01,Mathematics,35,60
S960-25,2024-2025,SUB03,English,35,27
S980-25,2024-2025,SUB02,Science,35,43
S982-24,2023-2024,SUB02,Science,35,54
S992-25,2024-2025,SUB02,Science,35,15
S686-25,2024-2025,SUB02,Science,35,18
S412-25,2024-2025,SUB01,Mathematics,33,60
S016-25,2024-2025,SUB03,English,34,45
S565-24,2023-2024,SUB01,Mathematics,29,60
S025-25,2024-2025,SUB03,English,34,25
S032-25,2024-2025,SUB02,Science,34,35
S125-25,2024-2025,SUB04,Social Studies,34,50
S312-24,2023-2024,SUB04,Social Studies,34,50
S684-24,2023-2024,SUB04,Social Studies,34,50
S056-25,2024-2025,SUB04,Social Studies,34,42
S528-24,2023-2024,SUB04,Social Studies,34,42
S658-24,2023-2024,SUB04,Social Studies,34,49
S041-25,2024-2025,SUB02,Science,34,28
S245-25,2024-2025,SUB04,Social Studies,34,47
S376-25,2024-2025,SUB04,Social Studies,34,45
S997-24,2023-2024,SUB04,Social Studies,34,44
S277-24,2023-2024,SUB04,Social Studies,34,41
S356-24,2023-2024,SUB04,Social Studies,34,34
S842-25,2024-2025,SUB04,Social Studies,34,34
S047-24,2023-2024,SUB03,English,34,12
S034-24,2023-2024,SUB04,Social Studies,34,31
S678-25,2024-2025,SUB04,Social Studies,34,31
S681-25,2024-2025,SUB04,Social Studies,34,31
S982-24,2023-2024,SUB04,Social Studies,34,31
S408-25,2024-2025,SUB04,Social Studies,34,30
S113-25,2024-2025,SUB04,Social Studies,34,28
S704-25,2024-2025,SUB04,Social Studies,34,28
S201-24,2023-2024,SUB04,Social Studies,34,27
S393-25,2024-2025,SUB04,Social Studies,34,25
S646-25,2024-2025,SUB04,Social Studies,34,25
S013-24,2023-2024,SUB04,Social Studies,34,24
S824-24,2023-2024,SUB01,Mathematics,29,60
S165-25,2024-2025,SUB04,Social Studies,34,24
S383-24,2023-2024,SUB04,Social Studies,34,24
S060-25,2024-2025,SUB05,Computer Science,30,35
S060-25,2024-2025,SUB04,Social Studies,34,23
S020-24,2023-2024,SUB05,Computer Science,30,35
S558-24,2023-2024,SUB05,Computer Science,30,35
S645-24,2023-2024,SUB04,Social Studies,34,22
S032-25,2024-2025,SUB04,Social Studies,34,19
S254-25,2024-2025,SUB05,Computer Science,30,35
S809-24,2023-2024,SUB04,Social Studies,34,18
S971-24,2023-2024,SUB04,Social Studies,34,18
S172-25,2024-2025,SUB04,Social Studies,34,16
S576-24,2023-2024,SUB04,Social Studies,34,13
S856-24,2023-2024,SUB05,Computer Science,30,35
S382-25,2024-2025,SUB04,Social Studies,34,11
S783-24,2023-2024,SUB04,Social Studies,34,10
S274-25,2024-2025,SUB04,Social Studies,34,
S043-25,2024-2025,SUB05,Computer Science,30,35
S111-25,2024-2025,SUB05,Computer Science,30,35
S120-25,2024-2025,SUB05,Computer Science,30,35
S782-25,2024-2025,SUB01,Mathematics,28,60
S650-25,2024-2025,SUB05,Computer Science,30,35
S446-24,2023-2024,SUB01,Mathematics,27,60
S084-25,2024-2025,SUB02,Science,34,24
S089-25,2024-2025,SUB03,English,34,20
S986-25,2024-2025,SUB01,Mathematics,25,60
S687-24,2023-2024,SUB01,Mathematics,24,60
S117-25,2024-2025,SUB03,English,34,14
S140-25,2024-2025,SUB03,English,34,52
S143-25,2024-2025,SUB02,Science,34,17
S195-25,2024-2025,SUB02,Science,34,43
S220-24,2023-2024,SUB03,English,34,31
S234-24,2023-2024,SUB03,English,34,46
S289-25,2024-2025,SUB03,English,34,38
S359-24,2023-2024,SUB01,Mathematics,22,60
S400-25,2024-2025,SUB01,Mathematics,22,60
S319-25,2024-2025,SUB02,Science,34,35
S423-25,2024-2025,SUB01,Mathematics,20,60
S684-24,2023-2024,SUB01,Mathematics,20,60
S360-24,2023-2024,SUB03,English,34,12
S299-25,2024-2025,SUB01,Mathematics,17,60
S374-25,2024-2025,SUB02,Science,34,52
S001-24,2023-2024,SUB01,Mathematics,10,60
S405-24,2023-2024,SUB02,Science,34,36
S412-25,2024-2025,SUB03,English,34,37
S414-25,2024-2025,SUB03,English,34,46
S415-24,2023-2024,SUB02,Science,34,17
S422-24,2023-2024,SUB03,English,34,36
S429-24,2023-2024,SUB02,Science,34,55
S452-24,2023-2024,SUB03,English,34,18
S479-25,2024-2025,SUB03,English,34,30
S483-24,2023-2024,SUB02,Science,34,15
S493-25,2024-2025,SUB02,Science,34,40
S718-24,2023-2024,SUB01,Mathematics,10,60
S682-25,2024-2025,SUB01,Mathematics,8,60
S515-24,2023-2024,SUB03,English,34,53
S526-25,2024-2025,SUB02,Science,34,
S531-25,2024-2025,SUB02,Science,34,49
S538-24,2023-2024,SUB02,Science,34,42
S540-25,2024-2025,SUB03,English,34,13
S732-24,2023-2024,SUB01,Mathematics,7,60
S560-25,2024-2025,SUB03,English,34,24
S565-24,2023-2024,SUB03,English,34,38
S590-24,2023-2024,SUB02,Science,34,23
S898-24,2023-2024,SUB01,Mathematics,7,60
S600-25,2024-2025,SUB02,Science,34,51
S606-24,2023-2024,SUB02,Science,34,54
S606-24,2023-2024,SUB03,English,34,15
S362-24,2023-2024,SUB01,Mathematics,6,60
S639-25,2024-2025,SUB03,English,34,35
S057-24,2023-2024,SUB01,Mathematics,34,60
S642-25,2024-2025,SUB03,English,34,14
S509-24,2023-2024,SUB01,Mathematics,32,60
S809-24,2023-2024,SUB01,Mathematics,32,60
S676-25,2024-2025,SUB03,English,34,12
S682-25,2024-2025,SUB03,English,34,42
S683-24,2023-2024,SUB03,English,34,53
S017-25,2024-2025,SUB01,Mathematics,27,60
S703-24,2023-2024,SUB02,Science,34,
S717-24,2023-2024,SUB03,English,34,18
S723-25,2024-2025,SUB02,Science,34,11
S730-24,2023-2024,SUB01,Mathematics,27,60
S418-24,2023-2024,SUB01,Mathematics,24,60
S754-24,2023-2024,SUB03,English,34,29
S770-24,2023-2024,SUB02,Science,34,10
S821-24,2023-2024,SUB03,English,34,22
S433-24,2023-2024,SUB01,Mathematics,24,60
S825-24,2023-2024,SUB01,Mathematics,21,60
S835-24,2023-2024,SUB03,English,34,29
S851-25,2024-2025,SUB02,Science,34,35
S876-24,2023-2024,SUB02,Science,34,52
S663-24,2023-2024,SUB01,Mathematics,20,60
S887-24,2023-2024,SUB02,Science,34,26
S888-24,2023-2024,SUB03,English,34,35
S897-25,2024-2025,SUB03,English,34,53
S907-24,2023-2024,SUB03,English,34,50
S668-25,2024-2025,SUB01,Mathematics,20,60
S918-25,2024-2025,SUB03,English,34,54
S925-25,2024-2025,SUB03,English,34,46
S936-25,2024-2025,SUB03,English,34,19
S966-25,2024-2025,SUB03,English,34,
S970-25,2024-2025,SUB03,English,34,50
S846-25,2024-2025,SUB01,Mathematics,19,60
S440-25,2024-2025,SUB01,Mathematics,18,60
S993-25,2024-2025,SUB03,English,34,26
S515-24,2023-2024,SUB03,English,34,53
S006-25,2024-2025,SUB02,Science,33,28
S029-24,2023-2024,SUB03,English,33,13
S472-24,2023-2024,SUB01,Mathematics,17,60
S032-25,2024-2025,SUB03,English,33,12
S049-25,2024-2025,SUB02,Science,33,43
S063-24,2023-2024,SUB03,English,33,32
S647-25,2024-2025,SUB04,Social Studies,33,50
S871-25,2024-2025,SUB04,Social Studies,33,50
S416-24,2023-2024,SUB05,Computer Science,31,35
S847-24,2023-2024,SUB01,Mathematics,15,60
S524-24,2023-2024,SUB04,Social Studies,33,50
S752-25,2024-2025,SUB04,Social Studies,33,50
S053-24,2023-2024,SUB05,Computer Science,31,35
S294-25,2024-2025,SUB05,Computer Science,31,35
S048-25,2024-2025,SUB04,Social Studies,33,52
S126-25,2024-2025,SUB04,Social Studies,33,52
S921-25,2024-2025,SUB04,Social Studies,33,42
S258-25,2024-2025,SUB04,Social Studies,33,49
S699-25,2024-2025,SUB04,Social Studies,33,49
S464-25,2024-2025,SUB05,Computer Science,31,35
S423-25,2024-2025,SUB04,Social Studies,33,47
S011-24,2023-2024,SUB04,Social Studies,33,46
S075-25,2024-2025,SUB02,Science,33,28
S640-24,2023-2024,SUB04,Social Studies,33,45
S734-25,2024-2025,SUB04,Social Studies,33,45
S677-25,2024-2025,SUB04,Social Studies,33,43
S130-24,2023-2024,SUB05,Computer Science,31,35
S821-24,2023-2024,SUB04,Social Studies,33,40
S631-25,2024-2025,SUB05,Computer Science,31,35
S077-24,2023-2024,SUB04,Social Studies,33,37
S360-24,2023-2024,SUB04,Social Studies,33,36
S398-25,2024-2025,SUB04,Social Studies,33,36
S618-25,2024-2025,SUB04,Social Studies,33,35
S080-25,2024-2025,SUB03,English,33,44
S439-24,2023-2024,SUB05,Computer Science,30,35
S720-25,2024-2025,SUB05,Computer Science,30,35
S794-24,2023-2024,SUB05,Computer Science,30,35
S778-24,2023-2024,SUB05,Computer Science,30,35
S942-24,2023-2024,SUB05,Computer Science,30,35
S861-24,2023-2024,SUB04,Social Studies,33,30
S006-25,2024-2025,SUB04,Social Studies,33,25
S484-24,2023-2024,SUB04,Social Studies,33,24
S238-25,2024-2025,SUB04,Social Studies,33,23
S333-25,2024-2025,SUB04,Social Studies,33,23
S459-24,2023-2024,SUB04,Social Studies,33,23
S664-25,2024-2025,SUB04,Social Studies,33,23
S393-25,2024-2025,SUB05,Computer Science,30,35
S732-24,2023-2024,SUB04,Social Studies,33,20
S288-24,2023-2024,SUB05,Computer Science,30,35
S894-25,2024-2025,SUB04,Social Studies,33,18
S518-25,2024-2025,SUB04,Social Studies,33,17
S822-24,2023-2024,SUB05,Computer Science,30,35
S921-25,2024-2025,SUB05,Computer Science,30,35
S769-25,2024-2025,SUB04,Social Studies,33,14
S242-25,2024-2025,SUB04,Social Studies,33,13
S330-25,2024-2025,SUB04,Social Studies,33,13
S938-24,2023-2024,SUB04,Social Studies,33,12
S039-24,2023-2024,SUB05,Computer Science,30,35
S697-24,2023-2024,SUB04,Social Studies,33,
S739-24,2023-2024,SUB04,Social Studies,33,
S100-25,2024-2025,SUB02,Science,33,15
S100-25,2024-2025,SUB03,English,33,50
S116-25,2024-2025,SUB01,Mathematics,14,60
S136-25,2024-2025,SUB02,Science,33,17
S138-24,2023-2024,SUB02,Science,33,23
S158-25,2024-2025,SUB03,English,33,
S457-25,2024-2025,SUB01,Mathematics,9,60
S173-24,2023-2024,SUB03,English,33,34
S179-24,2023-2024,SUB03,English,33,19
S469-25,2024-2025,SUB01,Mathematics,8,60
S209-24,2023-2024,SUB03,English,33,47
S225-24,2023-2024,SUB02,Science,33,12
S267-24,2023-2024,SUB01,Mathematics,5,60
S268-24,2023-2024,SUB03,English,33,34
S300-25,2024-2025,SUB02,Science,33,53
S841-24,2023-2024,SUB01,Mathematics,5,60
S330-25,2024-2025,SUB02,Science,33,16
S332-25,2024-2025,SUB02,Science,33,22
S336-24,2023-2024,SUB03,English,33,26
S347-24,2023-2024,SUB02,Science,33,25
S252-24,2023-2024,SUB01,Mathematics,40,60
S689-25,2024-2025,SUB01,Mathematics,34,60
S385-25,2024-2025,SUB03,English,33,35
S388-25,2024-2025,SUB03,English,33,19
S909-25,2024-2025,SUB01,Mathematics,34,60
S406-24,2023-2024,SUB03,English,33,43
S719-25,2024-2025,SUB01,Mathematics,28,60
S417-25,2024-2025,SUB02,Science,33,37
S455-25,2024-2025,SUB03,English,33,49
S461-25,2024-2025,SUB02,Science,33,25
S468-25,2024-2025,SUB03,English,33,34
S973-25,2024-2025,SUB01,Mathematics,28,60
S480-24,2023-2024,SUB02,Science,33,26
S480-24,2023-2024,SUB03,English,33,21
S506-25,2024-2025,SUB02,Science,33,11
S971-24,2023-2024,SUB01,Mathematics,27,60
S534-24,2023-2024,SUB02,Science,33,15
S729-24,2023-2024,SUB01,Mathematics,25,60
S543-25,2024-2025,SUB02,Science,33,43
S441-24,2023-2024,SUB01,Mathematics,22,60
S554-25,2024-2025,SUB02,Science,33,43
S565-24,2023-2024,SUB02,Science,33,54
S567-24,2023-2024,SUB02,Science,33,16
S574-25,2024-2025,SUB03,English,33,30
S580-25,2024-2025,SUB03,English,33,33
S584-24,2023-2024,SUB02,Science,33,38
S635-25,2024-2025,SUB01,Mathematics,22,60
S055-25,2024-2025,SUB01,Mathematics,20,60
S617-24,2023-2024,SUB02,Science,33,14
S622-24,2023-2024,SUB02,Science,33,15
S679-25,2024-2025,SUB02,Science,33,19
S706-25,2024-2025,SUB03,English,33,49
S708-25,2024-2025,SUB03,English,33,22
S713-25,2024-2025,SUB02,Science,33,19
S772-25,2024-2025,SUB01,Mathematics,20,60
S718-24,2023-2024,SUB03,English,33,
S719-25,2024-2025,SUB02,Science,33,14
S736-24,2023-2024,SUB02,Science,33,28
S752-25,2024-2025,SUB03,English,33,44
S753-25,2024-2025,SUB03,English,33,30
S022-25,2024-2025,SUB01,Mathematics,18,60
S817-24,2023-2024,SUB02,Science,33,45
S820-25,2024-2025,SUB03,English,33,47
S829-25,2024-2025,SUB03,English,33,27
S853-25,2024-2025,SUB03,English,33,41
S856-24,2023-2024,SUB01,Mathematics,16,60
S861-24,2023-2024,SUB03,English,33,12
S881-24,2023-2024,SUB02,Science,33,27
S899-24,2023-2024,SUB03,English,33,38
S646-25,2024-2025,SUB01,Mathematics,15,60
S979-25,2024-2025,SUB01,Mathematics,15,60
S095-24,2023-2024,SUB01,Mathematics,14,60
S421-24,2023-2024,SUB01,Mathematics,11,60
S431-25,2024-2025,SUB01,Mathematics,9,60
S377-25,2024-2025,SUB01,Mathematics,8,60
S946-24,2023-2024,SUB03,English,33,23
S958-25,2024-2025,SUB03,English,33,20
S971-24,2023-2024,SUB02,Science,33,50
S984-25,2024-2025,SUB02,Science,33,27
S995-25,2024-2025,SUB02,Science,33,40
S725-24,2023-2024,SUB01,Mathematics,7,60
S585-24,2023-2024,SUB01,Mathematics,40,60
S046-25,2024-2025,SUB02,Science,32,53
S048-25,2024-2025,SUB02,Science,32,41
S243-24,2023-2024,SUB01,Mathematics,33,60
S150-24,2023-2024,SUB04,Social Studies,32,50
S250-25,2024-2025,SUB04,Social Studies,32,50
S098-25,2024-2025,SUB05,Computer Science,30,35
S517-25,2024-2025,SUB05,Computer Science,30,35
S785-25,2024-2025,SUB05,Computer Science,30,35
S106-25,2024-2025,SUB05,Computer Science,30,35
S805-25,2024-2025,SUB05,Computer Science,30,35
S635-25,2024-2025,SUB04,Social Studies,32,45
S903-25,2024-2025,SUB04,Social Studies,32,44
S876-24,2023-2024,SUB05,Computer Science,30,35
S883-24,2023-2024,SUB05,Computer Science,30,35
S685-24,2023-2024,SUB05,Computer Science,30,35
S364-24,2023-2024,SUB04,Social Studies,32,42
S834-24,2023-2024,SUB04,Social Studies,32,42
S336-24,2023-2024,SUB05,Computer Science,30,35
S937-24,2023-2024,SUB05,Computer Science,30,35
S802-25,2024-2025,SUB04,Social Studies,32,40
S178-25,2024-2025,SUB05,Computer Science,29,35
S092-25,2024-2025,SUB01,Mathematics,31,60
S446-24,2023-2024,SUB05,Computer Science,29,35
S493-25,2024-2025,SUB04,Social Studies,32,37
S004-24,2023-2024,SUB04,Social Studies,32,36
S094-24,2023-2024,SUB04,Social Studies,32,35
S343-24,2023-2024,SUB04,Social Studies,32,35
S449-25,2024-2025,SUB05,Computer Science,29,35
S181-25,2024-2025,SUB05,Computer Science,29,35
S404-25,2024-2025,SUB04,Social Studies,32,31
S231-24,2023-2024,SUB05,Computer Science,28,35
S346-25,2024-2025,SUB05,Computer Science,28,35
S107-25,2024-2025,SUB02,Science,32,46
S087-24,2023-2024,SUB04,Social Studies,32,30
S355-25,2024-2025,SUB05,Computer Science,28,35
S262-24,2023-2024,SUB04,Social Studies,32,29
S800-25,2024-2025,SUB05,Computer Science,28,35
S739-24,2023-2024,SUB05,Computer Science,28,35
S485-25,2024-2025,SUB04,Social Studies,32,27
S401-25,2024-2025,SUB05,Computer Science,27,35
S223-24,2023-2024,SUB04,Social Studies,32,24
S387-25,2024-2025,SUB05,Computer Science,27,35
S029-24,2023-2024,SUB05,Computer Science,27,35
S276-25,2024-2025,SUB05,Computer Science,27,35
S285-25,2024-2025,SUB05,Computer Science,27,35
S779-25,2024-2025,SUB05,Computer Science,27,35
S067-25,2024-2025,SUB05,Computer Science,26,35
S270-24,2023-2024,SUB04,Social Studies,32,19
S127-25,2024-2025,SUB05,Computer Science,26,35
S115-24,2023-2024,SUB02,Science,32,
S296-25,2024-2025,SUB04,Social Studies,32,16
S867-24,2023-2024,SUB04,Social Studies,32,16
S116-25,2024-2025,SUB03,English,32,24
S899-24,2023-2024,SUB04,Social Studies,32,16
S455-25,2024-2025,SUB05,Computer Science,26,35
S394-24,2023-2024,SUB05,Computer Science,26,35
S438-24,2023-2024,SUB05,Computer Science,25,35
S934-24,2023-2024,SUB05,Computer Science,25,35
S730-24,2023-2024,SUB04,Social Studies,32,14
S738-25,2024-2025,SUB04,Social Studies,32,14
S267-24,2023-2024,SUB05,Computer Science,25,35
S385-25,2024-2025,SUB04,Social Studies,32,10
S474-25,2024-2025,SUB05,Computer Science,25,35
S612-25,2024-2025,SUB05,Computer Science,25,35
S966-25,2024-2025,SUB05,Computer Science,25,35
S441-24,2023-2024,SUB05,Computer Science,25,35
S969-24,2023-2024,SUB04,Social Studies,32,
S123-24,2023-2024,SUB03,English,32,16
S135-25,2024-2025,SUB03,English,32,37
S451-25,2024-2025,SUB01,Mathematics,30,60
S158-25,2024-2025,SUB02,Science,32,10
S788-25,2024-2025,SUB01,Mathematics,28,60
S180-25,2024-2025,SUB02,Science,32,33
S185-25,2024-2025,SUB02,Science,32,33
S617-24,2023-2024,SUB01,Mathematics,26,60
S196-25,2024-2025,SUB03,English,32,38
S200-25,2024-2025,SUB03,English,32,14
S048-25,2024-2025,SUB01,Mathematics,24,60
S205-25,2024-2025,SUB03,English,32,11
S277-24,2023-2024,SUB01,Mathematics,23,60
S226-25,2024-2025,SUB02,Science,32,41
S774-25,2024-2025,SUB01,Mathematics,23,60
S236-24,2023-2024,SUB02,Science,32,11
S269-24,2023-2024,SUB02,Science,32,11
S270-24,2023-2024,SUB03,English,32,24
S279-24,2023-2024,SUB03,English,32,20
S992-25,2024-2025,SUB01,Mathematics,19,51
S300-25,2024-2025,SUB03,English,32,49
S915-25,2024-2025,SUB01,Mathematics,15,51
S335-24,2023-2024,SUB02,Science,32,34
S348-25,2024-2025,SUB02,Science,32,14
S369-25,2024-2025,SUB03,English,32,10
S260-24,2023-2024,SUB01,Mathematics,9,51
S742-24,2023-2024,SUB01,Mathematics,9,51
S398-25,2024-2025,SUB03,English,32,36
S421-24,2023-2024,SUB03,English,32,23
S441-24,2023-2024,SUB02,Science,32,42
S075-25,2024-2025,SUB01,Mathematics,7,51
S144-24,2023-2024,SUB01,Mathematics,7,51
S484-24,2023-2024,SUB03,English,32,27
S490-24,2023-2024,SUB03,English,32,19
S500-24,2023-2024,SUB02,Science,32,29
S502-24,2023-2024,SUB02,Science,32,55
S259-25,2024-2025,SUB01,Mathematics,6,51
S516-25,2024-2025,SUB02,Science,32,41
S670-25,2024-2025,SUB01,Mathematics,5,51
S542-25,2024-2025,SUB03,English,32,42
S546-24,2023-2024,SUB02,Science,32,30
S551-24,2023-2024,SUB03,English,32,24
S054-24,2023-2024,SUB01,Mathematics,,51
S625-25,2024-2025,SUB03,English,32,16
S630-24,2023-2024,SUB03,English,32,
S636-25,2024-2025,SUB02,Science,32,47
S646-25,2024-2025,SUB02,Science,32,40
S653-24,2023-2024,SUB02,Science,32,33
S668-25,2024-2025,SUB02,Science,32,10
S683-24,2023-2024,SUB02,Science,32,30
S731-24,2023-2024,SUB02,Science,32,
S747-25,2024-2025,SUB03,English,32,11
S932-24,2023-2024,SUB01,Mathematics,,51
S752-25,2024-2025,SUB02,Science,32,11
S318-25,2024-2025,SUB01,Mathematics,34,50
S759-24,2023-2024,SUB02,Science,32,24
S760-24,2023-2024,SUB02,Science,32,15
S771-25,2024-2025,SUB03,English,32,41
S793-25,2024-2025,SUB03,English,32,19
S843-24,2023-2024,SUB01,Mathematics,31,50
S420-24,2023-2024,SUB01,Mathematics,30,50
S829-25,2024-2025,SUB02,Science,32,33
S168-25,2024-2025,SUB01,Mathematics,28,50
S847-24,2023-2024,SUB03,English,32,47
S872-25,2024-2025,SUB03,English,32,31
S873-25,2024-2025,SUB03,English,32,41
S899-24,2023-2024,SUB02,Science,32,36
S906-24,2023-2024,SUB03,English,32,
S916-25,2024-2025,SUB02,Science,32,52
S212-24,2023-2024,SUB01,Mathematics,21,50
S653-24,2023-2024,SUB01,Mathematics,19,50
S242-25,2024-2025,SUB01,Mathematics,17,50
S034-24,2023-2024,SUB02,Science,31,17
S043-25,2024-2025,SUB03,English,31,52
S180-25,2024-2025,SUB01,Mathematics,14,50
S051-25,2024-2025,SUB02,Science,31,45
S054-24,2023-2024,SUB02,Science,31,50
S926-24,2023-2024,SUB01,Mathematics,13,50
S078-24,2023-2024,SUB02,Science,31,30
S526-25,2024-2025,SUB01,Mathematics,11,50
S830-24,2023-2024,SUB01,Mathematics,11,50
S094-24,2023-2024,SUB02,Science,31,30
S922-25,2024-2025,SUB01,Mathematics,9,50
S866-25,2024-2025,SUB04,Social Studies,31,50
S035-25,2024-2025,SUB05,Computer Science,24,35
S321-24,2023-2024,SUB04,Social Studies,31,52
S257-24,2023-2024,SUB05,Computer Science,24,35
S479-25,2024-2025,SUB05,Computer Science,24,35
S209-24,2023-2024,SUB05,Computer Science,24,35
S974-24,2023-2024,SUB04,Social Studies,31,49
S065-25,2024-2025,SUB05,Computer Science,24,35
S202-25,2024-2025,SUB05,Computer Science,24,35
S573-24,2023-2024,SUB04,Social Studies,31,48
S894-25,2024-2025,SUB01,Mathematics,5,50
S520-25,2024-2025,SUB04,Social Studies,31,47
S163-25,2024-2025,SUB05,Computer Science,23,35
