student_id,academic_year,dropout_flag,dropout_date,dropout_stage,dropout_reason,overall_attendance_percentage,family_income_band,academic_score,institution_code,age_at_enrollment,gender
H143-22,2021-2022,1,18-12-2021,Early,Academic,27,High,54,INST01,21,Female
H220-23,2022-2023,1,14-07-2021,Early,Academic,26,High,54,INST01,22,male
H407-22,2021-2022,1,08-08-2021,Mid,Health,26,Medium,54,INST02,19,female
H166-22,2021-2022,0,,,,86,Low,84,INST02,22,FEMALE
H167-23,2022-2023,0,,,,94,Low,82,INST02,19,female
H168-21,2020-2021,0,,,,46,High,45,INST02,19,Female
H169-21,2020-2021,0,,,,74,Low,88,INST02,19,MALE
H1107-22,2021-2022,1,14-06-2021,Early,Health,26,Medium,54,INST02,17,female
H226-22,2021-2022,1,22-09-2021,Mid,Health,25,Low,54,INST02,18,FEMALE
H916-21,2020-2021,1,26-01-2022,Mid,Academic,25,High,54,INST01,,female
H173-22,2021-2022,0,,,,84,Medium,79,INST02,19,Male
H174-22,2021-2022,0,,,,79,Low,84,INST02,20,Male
H175-21,2020-2021,0,,,,31,Low,36,INST02,24,male
H176-23,2022-2023,0,,,,82,Medium,48,INST02,18,female
H177-21,2020-2021,0,,,,70,High,38,INST01,20,male
H1067-23,2022-2023,1,02-02-2022,Early,Personal,25,,54,INST02,20,female
H179-23,2022-2023,0,,,,67,Medium,53,INST02,18,female
H924-23,2022-2023,1,31-07-2021,Early,Health,,Medium,54,INST02,20,male
H181-23,2022-2023,0,,,,54,Medium,63,INST01,25,Male
H182-21,2020-2021,0,,,,93,Medium,68,INST01,18,male
H183-21,2020-2021,0,,,,81,Medium,48,INST01,22,female
H184-22,2021-2022,0,,,,51,Medium,80,INST01,20,male
H925-22,2021-2022,1,22-11-2021,Late,Personal,,High,54,INST02,22,male
H186-23,2022-2023,0,,,,37,Medium,37,INST01,19,male
H187-21,2020-2021,0,,,,49,Medium,53,INST02,23,Female
H188-23,2022-2023,0,,,,33,Low,47,INST02,19,FEMALE
H189-23,2022-2023,0,,,,90,Low,57,INST01,24,Female
H190-22,2021-2022,0,,,,68,High,82,INST01,23,Female
H926-22,2021-2022,1,15-06-2021,Early,Academic,,Low,54,INST01,19,female
H066-21,2020-2021,1,12-03-2022,Mid,Health,85,Low,53,INST01,25,Female
H783-23,2022-2023,1,30-10-2021,Late,Financial,55,Low,53,INST02,22,MALE
H1317-21,2020-2021,1,06-12-2021,Mid,Personal,55,Medium,53,INST01,17,Male
H1618-22,2021-2022,1,25-01-2022,Late,Personal,55,Low,53,INST01,17,female
H196-22,2021-2022,0,,,,60,Medium,74,INST02,24,Male
H197-22,2021-2022,0,,,,82,High,47,INST01,23,FEMALE
H1556-23,2022-2023,1,29-11-2021,Late,Financial,53,Medium,53,INST01,20,MALE
H199-21,2020-2021,0,,,,81,Medium,39,INST02,21,FEMALE
H200-23,2022-2023,0,,,,40,Medium,74,INST02,22,male
H1843-22,2021-2022,1,27-12-2021,Early,Health,53,Medium,53,INST02,17,female
H202-21,2020-2021,0,,,,59,Low,57,INST01,24,Female
H312-23,2022-2023,1,05-09-2021,Mid,Academic,52,Medium,53,INST01,20,FEMALE
H204-22,2021-2022,0,,,,73,High,77,INST01,24,female
H1894-21,2020-2021,1,31-07-2021,Early,Financial,52,High,53,INST01,25,male
H206-21,2020-2021,0,,,,83,Low,56,INST02,22,female
H1704-22,2021-2022,1,11-03-2022,Early,Personal,51,High,53,INST01,21,male
H360-21,2020-2021,1,10-09-2021,Late,Academic,50,Low,53,INST02,22,Male
H884-22,2021-2022,1,27-01-2022,Late,Financial,50,Medium,53,INST02,17,MALE
H1599-22,2021-2022,1,30-12-2021,Early,Health,49,Low,53,INST02,24,female
H211-22,2021-2022,0,,,,40,Medium,76,INST02,19,Female
H212-23,2022-2023,0,,,,37,Medium,87,INST01,24,MALE
H126-22,2021-2022,1,13-09-2021,Early,Health,48,Low,53,INST01,18,MALE
H214-22,2021-2022,0,,,,50,Medium,50,INST02,22,male
H215-21,2020-2021,0,,,,41,High,51,INST01,19,female
H216-23,2022-2023,0,,,,94,High,86,INST01,17,female
H151-22,2021-2022,1,10-11-2021,Mid,Academic,48,Low,53,INST01,22,male
H218-21,2020-2021,0,,,,51,Medium,82,INST02,23,male
H1191-21,2020-2021,1,25-12-2021,Early,Personal,48,Medium,53,INST02,21,Female
H1627-21,2020-2021,1,16-02-2022,Late,Health,47,Low,53,INST01,21,female
H221-23,2022-2023,0,,,,91,High,39,INST02,23,female
H222-22,2021-2022,0,,,,54,High,48,INST01,18,male
H223-23,2022-2023,0,,,,44,Medium,63,INST02,21,FEMALE
H931-21,2020-2021,1,15-01-2022,Early,Health,44,Low,53,INST01,21,Female
H225-21,2020-2021,0,,,,58,Medium,42,INST01,21,female
H1784-22,2021-2022,1,27-02-2022,Late,Academic,44,Low,53,INST01,18,MALE
H1331-23,2022-2023,1,06-03-2022,Early,Academic,42,Low,53,INST01,24,FEMALE
H719-21,2020-2021,1,18-01-2022,Early,Financial,41,Low,53,INST02,24,MALE
H1070-23,2022-2023,1,20-12-2021,Early,Academic,41,,53,INST01,20,Male
H1782-22,2021-2022,1,29-09-2021,Early,Academic,41,Medium,53,INST01,18,female
H231-21,2020-2021,0,,,,47,High,37,INST01,25,FEMALE
H232-22,2021-2022,0,,,,61,High,88,INST02,17,female
H233-21,2020-2021,0,,,,34,Medium,53,INST02,24,FEMALE
H234-21,2020-2021,0,,,,66,Medium,70,INST02,21,Male
H1799-23,2022-2023,1,26-06-2021,Late,Personal,38,High,53,INST01,24,male
H282-21,2020-2021,1,03-11-2021,Late,Financial,37,High,53,INST02,25,female
H763-22,2021-2022,1,08-06-2021,Mid,Health,36,Medium,53,INST01,21,male
H283-21,2020-2021,1,12-11-2021,Early,Academic,35,High,53,INST02,24,FEMALE
H239-21,2020-2021,0,,,,76,Low,56,INST01,24,FEMALE
H240-21,2020-2021,0,,,,80,Low,83,INST01,22,Male
H241-22,2021-2022,0,,,,88,High,50,INST01,20,MALE
H394-23,2022-2023,1,30-07-2021,Early,Health,35,High,53,INST02,20,Female
H243-21,2020-2021,0,,,,93,Low,41,INST01,17,female
H625-23,2022-2023,1,14-10-2021,Late,Health,35,Medium,53,INST02,17,MALE
H1411-23,2022-2023,1,22-12-2021,Mid,Financial,34,Low,53,INST02,24,female
H1807-21,2020-2021,1,15-03-2022,Early,Financial,29,High,53,INST01,19,Female
H247-21,2020-2021,0,,,,76,High,43,INST02,24,female
H248-21,2020-2021,0,,,,41,Medium,62,INST01,22,MALE
H1842-23,2022-2023,1,04-06-2021,Mid,Health,29,Medium,53,INST02,17,
H250-21,2020-2021,0,,,,52,Low,51,INST02,20,female
H251-21,2020-2021,0,,,,38,Medium,66,INST02,20,male
H170-21,2020-2021,1,15-12-2021,Mid,Academic,27,High,53,INST01,23,female
H529-23,2022-2023,1,11-01-2022,Early,Financial,27,High,53,INST01,24,MALE
H1035-23,2022-2023,1,29-08-2021,Late,Financial,27,Medium,53,INST02,18,FEMALE
H378-22,2021-2022,1,17-01-2022,Mid,Academic,26,Low,53,INST01,23,female
H256-23,2022-2023,0,,,,81,High,85,INST02,18,male
H257-21,2020-2021,0,,,,92,High,39,INST02,19,Female
H258-23,2022-2023,0,,,,83,Low,67,INST01,22,FEMALE
H259-22,2021-2022,0,,,,37,Low,59,INST02,18,Male
H1286-21,2020-2021,1,27-03-2022,Late,Health,26,Low,53,INST02,18,MALE
H261-23,2022-2023,0,,,,46,Low,77,INST01,24,MALE
H729-22,2021-2022,1,29-01-2022,Late,Financial,55,High,52,INST01,22,Male
H263-22,2021-2022,0,,,,71,High,61,INST02,20,Male
H264-21,2020-2021,0,,,,65,Medium,88,INST01,18,male
H820-23,2022-2023,1,04-03-2022,Early,Personal,53,Low,52,INST01,20,male
H266-21,2020-2021,0,,,,43,Low,49,INST01,22,female
H1762-23,2022-2023,1,31-01-2022,Early,Personal,53,Low,52,INST02,24,Male
H268-22,2021-2022,0,,,,79,Low,79,INST02,20,female
H648-22,2021-2022,1,02-07-2021,Late,Academic,51,Low,52,INST02,25,male
H1134-21,2020-2021,1,25-08-2021,Late,Health,49,Medium,52,INST01,19,Male
H271-23,2022-2023,0,,,,84,Medium,83,INST02,19,FEMALE
H272-23,2022-2023,0,,,,66,Medium,51,INST02,18,male
H273-23,2022-2023,0,,,,38,Low,81,INST01,17,FEMALE
H1238-21,2020-2021,1,25-03-2022,Late,Academic,49,Medium,52,INST01,23,male
H576-23,2022-2023,1,17-03-2022,Mid,Personal,48,Medium,52,INST02,23,MALE
H276-23,2022-2023,0,,,,51,Medium,45,INST01,22,MALE
H1813-23,2022-2023,1,09-07-2021,Early,Academic,47,Medium,52,INST02,18,FEMALE
H278-22,2021-2022,0,,,,73,Medium,68,INST02,22,MALE
H279-21,2020-2021,0,,,,35,High,37,INST02,17,MALE
H280-22,2021-2022,0,,,,36,Low,47,INST02,20,Female
H946-21,2020-2021,1,12-03-2022,Mid,Personal,46,,52,INST01,18,female
H1309-22,2021-2022,1,10-12-2021,Mid,Academic,43,Low,52,INST01,21,female
H1567-23,2022-2023,1,28-02-2022,Late,Health,42,Medium,52,INST01,25,MALE
H357-23,2022-2023,1,20-02-2022,Late,Health,40,Low,52,INST01,22,Male
H285-22,2021-2022,0,,,,95,Low,86,INST01,18,FEMALE
H403-23,2022-2023,1,02-12-2021,Late,Personal,40,Medium,52,INST02,19,female
H287-22,2021-2022,0,,,,84,High,58,INST02,24,Female
H193-22,2021-2022,1,29-01-2022,Early,Academic,39,Medium,52,INST02,22,MALE
H485-22,2021-2022,1,23-10-2021,Early,Financial,39,Low,52,INST02,19,female
H290-23,2022-2023,0,,,,36,Medium,73,INST02,23,male
H1319-23,2022-2023,1,11-07-2021,Early,Health,39,High,52,INST02,18,Male
H1997-23,2022-2023,1,07-09-2021,Late,Academic,39,High,52,INST01,19,FEMALE
H293-22,2021-2022,0,,,,36,Low,68,INST01,18,female
H851-23,2022-2023,1,24-01-2022,Late,Financial,38,Medium,52,INST02,18,Male
H295-21,2020-2021,0,,,,81,Medium,74,INST02,18,Male
H296-23,2022-2023,0,,,,94,Medium,80,INST01,18,FEMALE
H047-22,2021-2022,1,28-02-2022,Early,Academic,36,Low,52,INST02,23,female
H1237-22,2021-2022,1,07-09-2021,Mid,Personal,36,Low,52,INST01,24,Female
H1992-22,2021-2022,1,12-03-2022,Early,Health,36,Medium,52,INST01,24,MALE
H300-21,2020-2021,0,,,,44,Low,37,INST02,19,Female
H301-21,2020-2021,0,,,,75,High,51,INST02,19,female
H208-23,2022-2023,1,30-01-2022,Early,Academic,34,Low,52,INST02,24,FEMALE
H1467-21,2020-2021,1,10-03-2022,Mid,Financial,34,Low,52,INST01,24,Female
H1637-22,2021-2022,1,05-03-2022,Early,Financial,34,High,52,INST02,21,Female
H1948-22,2021-2022,1,14-11-2021,Late,Health,34,High,52,INST02,24,Male
H306-22,2021-2022,0,,,,80,High,52,INST01,23,MALE
H1574-21,2020-2021,1,09-03-2022,Mid,Personal,33,High,52,INST01,24,male
H308-21,2020-2021,0,,,,85,Medium,51,INST01,21,female
H275-21,2020-2021,1,11-10-2021,Late,Personal,31,Low,52,INST02,25,Female
H310-23,2022-2023,0,,,,69,Medium,74,INST02,20,MALE
H1489-23,2022-2023,1,17-10-2021,Early,Personal,31,High,52,INST01,19,Female
H1887-22,2021-2022,1,28-07-2021,Late,Financial,31,Low,52,INST01,24,Female
H029-23,2022-2023,1,24-11-2021,Late,Financial,29,Low,52,INST01,22,female
H785-23,2022-2023,1,09-08-2021,Mid,Health,29,Medium,52,INST02,19,Male
H315-23,2022-2023,0,,,,56,Low,74,INST01,19,Male
H316-21,2020-2021,0,,,,37,Medium,49,INST01,17,female
H317-23,2022-2023,0,,,,93,Low,81,INST01,19,MALE
H318-22,2021-2022,0,,,,93,Medium,75,INST02,17,MALE
H319-21,2020-2021,0,,,,49,Low,36,INST01,20,FEMALE
H089-22,2021-2022,1,13-10-2021,Early,Financial,27,High,52,INST02,24,male
H321-21,2020-2021,0,,,,47,Medium,47,INST02,21,male
H322-22,2021-2022,0,,,,41,High,50,INST01,17,male
H770-22,2021-2022,1,28-10-2021,Late,Personal,27,,52,INST01,23,female
H1202-22,2021-2022,1,05-01-2022,Early,Financial,27,High,52,INST01,19,Male
H1690-23,2022-2023,1,20-09-2021,Early,Personal,27,Medium,52,INST02,17,MALE
H326-23,2022-2023,0,,,,48,Low,37,INST01,25,male
H327-21,2020-2021,0,,,,48,High,76,INST02,21,Female
H1642-23,2022-2023,1,31-12-2021,Early,Academic,26,Low,52,INST02,18,Female
H329-22,2021-2022,0,,,,64,Medium,73,INST01,24,female
H330-22,2021-2022,0,,,,49,High,48,INST01,25,MALE
H331-23,2022-2023,0,,,,77,Low,63,INST01,17,Female
H332-22,2021-2022,0,,,,60,Low,54,INST01,19,FEMALE
H1743-23,2022-2023,1,03-06-2021,Late,Health,25,Low,52,INST02,20,Female
H324-22,2021-2022,1,11-11-2021,Late,Financial,53,High,51,INST01,18,Male
H583-23,2022-2023,1,04-12-2021,Early,Health,52,High,51,INST02,20,Female
H1247-23,2022-2023,1,05-02-2022,Late,Academic,51,Low,51,INST02,22,Male
H1478-21,2020-2021,1,22-09-2021,Early,Personal,51,Low,51,INST02,18,female
H338-23,2022-2023,0,,,,77,,88,INST02,22,Male
H339-22,2021-2022,0,,,,36,,83,INST02,20,Male
H1436-22,2021-2022,1,20-11-2021,Early,Academic,50,High,51,INST02,25,FEMALE
H341-23,2022-2023,0,,,,52,,78,INST01,20,female
H342-21,2020-2021,0,,,,57,,55,INST01,20,Female
H343-22,2021-2022,0,,,,89,,54,INST01,22,Female
H344-23,2022-2023,0,,,,51,,67,INST01,21,male
H1517-22,2021-2022,1,30-09-2021,Late,Financial,50,Low,51,INST02,24,male
H1582-22,2021-2022,1,25-03-2022,Mid,Personal,50,Medium,51,INST02,24,female
H877-22,2021-2022,1,24-06-2021,Mid,Academic,49,Medium,51,INST02,17,male
H348-22,2021-2022,0,,,,86,Low,47,INST01,18,Male
H1022-22,2021-2022,1,05-10-2021,Mid,Personal,48,High,51,INST01,,Male
H780-21,2020-2021,1,16-12-2021,Early,Financial,46,Low,51,INST02,18,female
H1037-21,2020-2021,1,08-12-2021,Mid,Health,46,Medium,51,INST01,19,MALE
H094-21,2020-2021,1,20-09-2021,Early,Personal,45,High,51,INST01,20,MALE
H353-21,2020-2021,0,,,,86,Low,86,INST02,23,MALE
H1982-23,2022-2023,1,05-08-2021,Early,Personal,45,Low,51,INST02,24,MALE
H205-21,2020-2021,1,13-10-2021,Mid,Personal,42,Low,51,INST01,21,Female
H437-22,2021-2022,1,20-11-2021,Late,Personal,42,Low,51,INST01,21,MALE
H658-21,2020-2021,1,01-11-2021,Mid,Personal,42,Medium,51,INST01,19,MALE
H358-21,2020-2021,0,,,,85,Low,54,INST01,21,Male
H359-22,2021-2022,0,,,,79,Low,81,INST02,21,female
H974-21,2020-2021,1,07-02-2022,Late,Health,42,Medium,51,INST01,25,Female
H624-22,2021-2022,1,10-03-2022,Early,Academic,41,Low,51,INST01,22,MALE
H362-22,2021-2022,0,,,,79,Medium,68,INST02,21,MALE
H363-22,2021-2022,0,,,,44,High,51,INST01,19,MALE
H364-21,2020-2021,0,,,,43,High,85,INST01,20,MALE
H802-22,2021-2022,1,07-07-2021,Early,Personal,41,Medium,51,INST02,23,male
H803-23,2022-2023,1,16-10-2021,Late,Financial,41,High,51,INST02,24,MALE
H367-23,2022-2023,0,,,,80,Low,40,INST02,18,female
H185-23,2022-2023,1,02-09-2021,Late,Academic,40,High,51,INST02,17,male
H666-22,2021-2022,1,15-09-2021,Early,Personal,40,Low,51,INST02,17,FEMALE
H370-21,2020-2021,0,,,,46,Low,65,INST02,21,male
H1840-23,2022-2023,1,11-03-2022,Mid,Health,39,High,51,INST01,24,
H372-21,2020-2021,0,,,,45,High,36,INST01,25,Female
